Name,Created,Tags
Unnamed Song 1,"February 23, 2022 10:01 PM","Acoustic, Alternative"
Sabotage,"December 4, 2021 1:03 PM","Acoustic, Original, Rock"
So lost without you,"November 6, 2021 12:04 AM","Alternative, Original"
Paint Me to Be the Devil,"August 30, 2021 12:38 PM","Original, Punk"
Seeker,"August 26, 2021 9:20 PM","Acoustic, Original"
La Personal Jesus,"August 23, 2021 1:56 PM","Cover, Rock"
Sex Dreams,"August 23, 2021 1:51 PM","Cover, Rock"
Andy Can't Get Laid,"August 23, 2021 2:09 AM","Original, Punk"
Never Like This,"August 23, 2021 2:06 AM","Original, Rock"
American Recluse,"August 23, 2021 1:57 AM","Original, Rock"
Forget about time for awhile,"August 23, 2021 1:53 AM","Original, Poem"
While We Can,"August 23, 2021 1:48 AM","Alternative, Original"
Barstool King,"August 23, 2021 1:41 AM","Acoustic, Original"
EPs Planner,"August 22, 2021 11:22 PM","Original, Planning"
Lurk,"August 22, 2021 5:56 PM","Alternative, Original"
Set List,"August 22, 2021 5:54 PM",Planning
Love Me The Same,"August 22, 2021 5:51 PM","Acoustic, Original, Rock"
Her effervescent laugh,"August 17, 2021 11:54 PM","Original, Poem"
Time keeps ticking,"August 17, 2021 11:54 PM","Original, Poem"
Song Ideas,"August 17, 2021 11:44 PM",Original
Diddy,"August 17, 2021 11:34 PM","Alternative, Original"
Conspirator,"August 17, 2021 11:33 PM","Original, Punk"
Our War,"February 26, 2021 9:27 AM","Alternative, Original"
Rock the Boat,"October 6, 2020 6:40 PM","Original, Rock"
Club strip queen,"September 19, 2020 11:09 PM","Original, Rock"
Voices,"August 14, 2020 9:31 AM","Alternative, Original"
The Couch,"February 22, 2020 7:48 PM","Alternative, Original"
Passenger Side,"February 5, 2020 10:21 PM","Alternative, Original"
Vixen,"December 19, 2019 9:35 PM","Original, Punk"
Let Down,"December 19, 2019 9:35 PM","Original, Punk"
Seeing if we could be something,"December 19, 2019 9:35 PM","Original, Rock"
No Clue,"December 19, 2019 9:35 PM","Original, Rock"
Kids,"December 19, 2019 9:35 PM","Acoustic, Original"
Good Thing,"December 19, 2019 9:35 PM","Alternative, Original"
Golden,"December 19, 2019 9:35 PM","Alternative, Original"
Unnamed Song,"July 15, 2019 7:57 AM","Acoustic, Original"
Hey there Dahlia Parody,"May 11, 2019 9:30 PM","Acoustic, Cover"
Heartbreak,"April 8, 2019 11:23 AM","Acoustic, Original"
Cascade,"October 11, 2018 5:46 PM","Alternative, Original"
The one that left,"June 19, 2017 4:12 PM","Acoustic, Original"
