Name,Assign,Status
Complete Webinar App,,In progress
Fill out form for Piotr (CRO Task),,Not started
Meeting with Morgan Bickell,,Not started
Build landing pages per Mersad's suggestions,,Not started
Review Mersad Link building Proposal,,Not started
Buy unity pro subscription,,In progress
Set up Segment.io,,Not started
Case Studies on Website,,Not started
Retargeting ad copy,,Not started
Update Backend Article for Medium,,Not started
add Google Client ID to datLayer,,Not started
Add Permissions on Relationships to Jira,,Not started
