Video Link,Notes
https://app.fullstory.com/ui/NEXG3/session/4570099350929408:4570099350929408!6030977852342272,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/4927244210700288:4927244210700288!4822465308098560,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/5475897358843904:5475897358843904!6551468998819840,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/4792130738749440:4792130738749440!4752985279070208,Created 2 tables and just didn't know what to do. Clicked around then left.
https://app.fullstory.com/ui/NEXG3/session/5320114057084928:5320114057084928!4871175721811968,Started creating tables and added his own ID column. Installed CLI. Played in GQL Explorer.
https://app.fullstory.com/ui/NEXG3/session/6131920958750720:6131920958750720!4849663337922560,Added custom role immediately. People get Lost in the Logic Screen
https://app.fullstory.com/ui/NEXG3/session/6114656607895552:6114656607895552!6487597342359552,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5677947780956160:5677947780956160!5671019637997568,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5738763511234560:5738763511234560!4715526408994816,Looked at data builder then left.
https://app.fullstory.com/ui/NEXG3/session/4761564775809024:4761564775809024!5470159653928960,Clicked around through every tab and then left.
https://app.fullstory.com/ui/NEXG3/session/5016126807965696:5016126807965696!5480985748144128,Tried integrating salesforce and failed and then tried creating relationship between two tables and logged out.
https://app.fullstory.com/ui/NEXG3/session/5474359955783680:5474359955783680!5461410704883712,Logged in and never did anything.
https://app.fullstory.com/ui/NEXG3/session/4825033453699072:4825033453699072!6459335903903744,Went to QuickStart guide and then never came back.
https://app.fullstory.com/ui/NEXG3/session/5306232060084224:5306232060084224!6548686927134720,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/6333701399609344:6333701399609344!5085057434353664,Successfully created multiple tables before leaving. Unsure what he felt was missing.
https://app.fullstory.com/ui/NEXG3/session/6626881202388992:6626881202388992!4544818445910016,Didn't know where to go. Found the logic screen then left.
https://app.fullstory.com/ui/NEXG3/session/5041883181580288:5041883181580288!4628042178199552,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5734466690056192:5734466690056192!6240329832431616,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/5780432503799808:5780432503799808!6156699321335808,"Added table without fields, created entry and the looked for way to create fields in the Data Viewer. Found Logic page and then left."
https://app.fullstory.com/ui/NEXG3/session/5673492750630912:5673492750630912!5108884804042752,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/5458756465426432:5458756465426432!6527989964701696,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5450507979161600:5450507979161600!6648975217229824,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5003544741642240:5003544741642240!6565658656604160," Signed up with Mobile."
https://app.fullstory.com/ui/NEXG3/session/5398042923597824:5398042923597824!4879788195020800," Signed up with Mobile."
https://app.fullstory.com/ui/NEXG3/session/5973017443270656:5973017443270656!6345570355609600," Signed up with Mobile."
https://app.fullstory.com/ui/NEXG3/session/6079115936497664:6079115936497664!5905244654501888," Signed up with Mobile."
https://app.fullstory.com/ui/NEXG3/session/6104621079691264:6104621079691264!6631762145935360,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/6729788785000448:6729788785000448!6136742334791680,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/6596823711055872:6596823711055872!4581186717450240,Attempted christians meal ticket tutorial. Never came back.
https://app.fullstory.com/ui/NEXG3/session/6336743090520064:6336743090520064!4922912267141120,Got all the way to authentication profiles and then never came back.
https://app.fullstory.com/ui/NEXG3/session/6477627832500224:6477627832500224!4549690749190144,"Made it all the way through and installed the CLI. "
https://app.fullstory.com/ui/NEXG3/session/6382433489485824:6382433489485824!5574256506273792,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/5973717028012032:5973717028012032!5486798196277248,Tried building integration with Firebase.
https://app.fullstory.com/ui/NEXG3/session/4588499545194496:4588499545194496!4782258841026560,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/5236123268907008:5236123268907008!5871535393964032,Signed up with Mobile.
https://app.fullstory.com/ui/NEXG3/session/4854948411047936:4854948411047936!5256161472380928,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/6678477741850624:6678477741850624!5115549276274688,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/4618254709522432:4618254709522432!5497594401882112,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/6247268494704640:6247268494704640!5344710376914944,Dropped off during initial workspace load.
https://app.fullstory.com/ui/NEXG3/session/4541304179621888:4541304179621888!6680423378812928,Tested simple schema and ran queries. Got lost at the logic screen. (amazon employee)
