Recording Date,Videos Reviewed,On Mobile,Sign Up,Landed On,Left On,Notes
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827328327,Yes,No,https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/products/developer-platform,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827306784,No,No,/,/pricing,Skipped most of the homepage accept for Testimonials. Clicked through testimonials.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827243447,No,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827240307,Yes,No,/,/,Page kept refreshing to top of scroll.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827234852,Yes,No,/,/,Dropped off at developer acceleration.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827221406,Yes,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/,Made it through the homepage scroll and then left after refreshing to top.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827186497,No,No,/,/events,Visited Docs first and then came back to look at the blog. Left after finding the events page..
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827089341,Yes,No,/,/about,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827083009,Yes,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827048013,No,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,Copied code samples.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2827043746,No,No,https://www.8base.com/blog/5-reasons-why-developers-are-choosing-8base-over-firebase,/pricing,Checked out developer platform page.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826916260,No,Yes,/,/pricing,Look at overages for Hobby plan and then clicked get started for free button on workspace.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826764076,Yes,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826751567,No,No,/,/pricing,Our site might not be working on Internet Explorer (I.E. 11.0)
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826548152,Yes,No,/products/developer-platform,/products/developer-platform,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826542850,Yes,No,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,/https://www.8base.com/blog/getting-started-with-gridsome-and-graphql,"A lot of the content pieces are being opened on Mobile, which leaves us with no follow up action for the user."
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826537036,Yes,No,/,/docs,Visited /graphql page and /pricing page before hopping off to our documentation
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826531998,No,No,/,/pricing,Left after looking at pricing.
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826483830,No,No,/blog/getting-started-with-gridsome-and-graphql,/,
"November 17, 2019",https://insights.hotjar.com/r?site=1205429&recording=2826472264,Yes,No,/blog/getting-started-with-gridsome-and-graphql,/blog/getting-started-with-gridsome-and-graphql,
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2821633991,No,No,/,/,
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2820990429,No,No,/,/support,Visited pricing and graphql page and subscribed to the Newsletter at bottom of homescreen. Viewed every page on website.
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2820912552,No,Yes,/pricing,/products/consulting,Used top screen get started for free after a few seconds looking at pricing. Came back after and left after reading pro-serve.
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2820791598,No,Yes,/blog,/products/bolt,Get Started on Hobby Plan.
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2820791293,No,No,/blog,/blog,
"November 15, 2019",https://insights.hotjar.com/r?site=1205429&recording=2820539808,No,No,/products/developer-platform,/docs,Lots of time on pricing page.
